customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
1555-FWYXQ,2024-01-28,Paid,2025-01-28,Premium,Annual,2025-10-07,Not enough content,22.99,459.8,76,1,Vishal,India,Karnataka,Female,1966-11-15,2025-08-31,Y,20.0,3.0
2615-KHDIR,2024-10-12,Referral,2025-10-12,Standard,Annual,,,14.99,209.86,37,0,Aditi,India,Rajasthan,Female,1980-05-12,,,,
4234-GAZUI,2019-03-06,Organic,2020-03-06,Basic,Monthly,,,6.99,580.17,49,0,Riya,India,Punjab,Male,1989-05-02,2024-04-30,N,70.0,1.0
3669-ZNYID,2021-08-09,Referral,2022-08-09,Standard,Monthly,,,13.99,741.47,24,0,Rohan,India,Haryana,Female,1967-07-13,2021-11-06,N,60.0,1.0
4971-FTRJC,2024-10-27,Referral,2025-10-27,Basic,Annual,,,6.99,97.86,54,0,Rahul,India,Odisha,Female,1990-08-17,,,,
8552-FYMXU,2019-06-02,Organic,2020-06-02,Standard,Monthly,,,13.99,1119.2,16,0,Aditya,India,Gujarat,Male,1995-01-31,,,,
4074-YPEWY,2023-05-02,Referral,2024-05-02,Basic,Monthly,,,6.99,223.68,28,0,Ananya,India,Haryana,Male,1981-05-25,,,,
7257-RTIPH,2021-11-24,Organic,2022-11-24,Basic,Monthly,2024-01-24,Forgot to cancel trial,8.99,233.74,63,1,Priya,India,Haryana,Male,1973-06-10,,,,
0209-WVOWY,2022-09-05,Paid,2023-09-05,Basic,Monthly,,,6.99,279.6,6,0,Pooja,India,Tamil Nadu,Male,1981-01-31,,,,
8063-VYWBI,2019-03-17,Referral,2020-03-17,Standard,Monthly,,,14.99,1229.18,53,0,Riya,India,Kerala,Male,1979-02-14,2023-07-18,Y,60.0,1.0
2853-CTXDA,2021-02-07,Organic,2022-02-07,Premium,Monthly,2022-12-04,Switched to competitor,22.99,505.78,72,1,Sneha,India,Odisha,Male,1983-03-08,,,,
0335-CKOKL,2020-03-05,Organic,2021-03-05,Standard,Annual,2021-06-25,Too expensive,13.99,209.85,69,1,Shreya,India,Kerala,Male,1990-09-20,,,,
8411-SKUDD,2023-04-11,Paid,2024-04-11,Premium,Monthly,2025-01-23,Switched to competitor,22.99,482.79,81,1,Aarav,India,Maharashtra,Male,1979-03-30,,,,
7027-AESSZ,2023-05-19,Paid,2024-05-19,Basic,Monthly,,,6.99,216.69,33,0,Shreya,India,Bihar,Male,1996-07-09,,,,
3126-UMOZT,2019-08-17,Paid,2020-08-17,Basic,Monthly,2020-03-07,Poor streaming quality,6.99,41.94,99,1,Sneha,India,Kerala,Female,2004-08-03,,,,
2971-KAEAJ,2024-11-14,Referral,2025-11-14,Premium,Monthly,,,22.99,298.87,44,0,Diya,India,Madhya Pradesh,Female,1998-06-23,2025-04-29,Y,10.0,1.0
7395-AOFWB,2019-09-11,Organic,2020-09-11,Premium,Monthly,,,22.99,1747.24,50,0,Rohan,India,West Bengal,Male,1984-10-26,,,,
8076-LIKFL,2019-05-02,Organic,2020-05-02,Premium,Annual,,,22.99,1862.19,4,0,Arjun,India,Delhi,Female,1970-12-09,2022-08-02,N,80.0,1.0
0504-CULUF,2024-08-01,Organic,2025-08-01,Standard,Monthly,,,13.99,237.83,40,0,Tanvi,India,Uttar Pradesh,Female,1960-03-23,,,,
7523-MOQGV,2020-11-09,Referral,2021-11-09,Basic,Annual,2022-12-20,Not enough content,7.99,199.75,88,1,Ishaan,India,West Bengal,Male,1990-08-19,2022-07-16,Y,10.0,2.0
2358-FJLBZ,2021-05-12,Organic,2022-05-12,Premium,Annual,,,24.99,1399.44,33,0,Priya,India,Odisha,Male,1965-05-17,,,,
7843-NTLYI,2024-10-28,Organic,2025-10-28,Standard,Annual,2026-05-02,Forgot to cancel trial,13.99,251.82,79,1,Riya,India,Delhi,Female,1968-08-07,,,,
0567-HMHJX,2021-02-06,Paid,2022-02-06,Basic,Annual,,,6.99,412.41,42,0,Pooja,India,Uttar Pradesh,Female,1997-09-19,,,,
3535-TWDEX,2020-10-27,Paid,2021-10-27,Basic,Monthly,,,7.99,503.37,31,0,Akash,India,Bihar,Male,1980-02-22,,,,
8703-JLENR,2021-08-10,Organic,2022-08-10,Standard,Annual,,,15.99,847.47,7,0,Nikhil,India,Madhya Pradesh,Female,1975-10-13,,,,
6230-OUGVG,2022-01-28,Paid,2023-01-28,Basic,Annual,2022-09-05,Switched to competitor,6.99,48.93,91,1,Vishal,India,Punjab,Male,1983-04-27,2022-05-23,Y,20.0,1.0
7535-YAWRE,2020-04-13,Paid,2021-04-13,Standard,Annual,,,13.99,965.31,24,0,Sakshi,India,Rajasthan,Female,1997-07-13,,,,
3171-NJJAD,2023-11-07,Paid,2024-11-07,Premium,Monthly,,,23.99,623.74,51,0,Sakshi,India,Haryana,Female,1965-06-28,2025-01-17,N,100.0,1.0
2214-MEHIN,2020-03-06,Referral,2021-03-06,Basic,Monthly,,,6.99,489.3,6,0,Tanvi,India,Delhi,Female,1983-12-12,,,,
4421-WOHHU,2020-11-05,Referral,2021-11-05,Premium,Annual,2022-11-29,Too expensive,23.99,599.75,72,1,Vishal,India,Maharashtra,Female,2004-09-01,2022-06-26,N,80.0,1.0
3486-SABGJ,2024-07-27,Referral,2025-07-27,Basic,Monthly,,,6.99,118.83,38,0,Priya,India,Maharashtra,Female,1993-02-06,,,,
2198-BGDTG,2020-06-25,Organic,2021-06-25,Basic,Monthly,2022-10-24,Switched to competitor,6.99,195.72,83,1,Akash,India,Telangana,Female,1960-02-04,2021-05-22,Y,20.0,1.0
6019-EQCFN,2020-01-15,Paid,2021-01-15,Basic,Annual,,,6.99,503.28,64,0,Meera,India,Punjab,Female,2001-06-24,,,,
5656-PJEIB,2022-01-14,Paid,2023-01-14,Standard,Monthly,2022-03-07,Not enough content,13.99,13.99,2,1,Rohan,India,Delhi,Male,1963-09-28,,,,
2506-NBAZV,2019-02-24,Organic,2020-02-24,Basic,Annual,2020-06-29,Forgot to cancel trial,7.99,127.84,52,1,Riya,India,Karnataka,Male,1995-10-15,2020-05-15,Y,40.0,1.0
4174-JTJND,2022-08-24,Organic,2023-08-24,Standard,Annual,,,15.99,639.6,48,0,Akash,India,Uttar Pradesh,Female,1989-07-29,,,,
9184-GHDBC,2019-11-02,Referral,2020-11-02,Standard,Monthly,,,13.99,1049.25,18,0,Kavya,India,Telangana,Male,1963-04-10,,,,
8241-MURDE,2023-09-25,Organic,2024-09-25,Standard,Monthly,2026-02-23,Forgot to cancel trial,13.99,405.71,95,1,Aditya,India,West Bengal,Male,1989-11-27,2024-01-13,Y,30.0,1.0
9586-BBVNE,2022-11-16,Paid,2023-11-16,Premium,Annual,,,22.99,873.62,57,0,Varun,India,Maharashtra,Male,1979-02-21,2024-02-12,N,100.0,2.0
9508-XXLWK,2021-04-26,Referral,2022-04-26,Premium,Monthly,,,22.99,1310.43,20,0,Kavya,India,Kerala,Female,1960-01-05,,,,
6951-DGQML,2024-09-27,Paid,2025-09-27,Basic,Annual,,,6.99,104.85,41,0,Neha,India,Haryana,Female,1991-05-24,,,,
5056-KDOKI,2022-09-23,Referral,2023-09-23,Standard,Monthly,,,15.99,623.61,41,0,Pooja,India,Madhya Pradesh,Male,1966-10-11,2023-11-05,N,80.0,1.0
5567-UPMTX,2021-09-11,Referral,2022-09-11,Standard,Annual,,,14.99,779.48,47,0,Rohan,India,Punjab,Female,1998-08-30,,,,
8122-DVWOB,2022-07-18,Paid,2023-07-18,Standard,Monthly,,,13.99,587.58,42,0,Akash,India,Punjab,Male,1986-01-27,2024-12-14,N,60.0,1.0
2008-UPVPJ,2019-09-17,Organic,2020-09-17,Standard,Monthly,2022-02-02,Poor streaming quality,13.99,391.72,73,1,Nikhil,India,Delhi,Male,2001-06-16,,,,
2959-FMJPG,2022-11-08,Organic,2023-11-08,Premium,Monthly,,,23.99,911.62,27,0,Neha,India,Odisha,Female,1961-03-24,2025-11-21,N,60.0,1.0
8503-OONRZ,2024-05-01,Organic,2025-05-01,Premium,Monthly,,,23.99,479.8,46,0,Aditi,India,Rajasthan,Female,1975-06-29,,,,
8613-PYLUU,2023-06-15,Referral,2024-06-15,Premium,Monthly,,,22.99,712.69,78,0,Neha,India,Tamil Nadu,Male,1982-03-03,,,,
3704-LZWEQ,2022-01-09,Paid,2023-01-09,Basic,Monthly,2023-12-02,Switched to competitor,7.99,183.77,98,1,Neha,India,Haryana,Female,2001-03-04,2022-08-25,Y,10.0,1.0
9224-SPPUJ,2022-12-09,Organic,2023-12-09,Basic,Monthly,2024-10-23,Too expensive,6.99,153.78,87,1,Shreya,India,Telangana,Female,1960-07-18,,,,
1523-UMWPU,2024-03-09,Organic,2025-03-09,Premium,Annual,,,24.99,549.78,32,0,Neha,India,Maharashtra,Female,2002-08-20,2024-03-30,N,70.0,1.0
4285-ZIUQK,2024-09-02,Referral,2025-09-02,Standard,Annual,2025-06-05,Not enough content,15.99,143.91,90,1,Neha,India,Bihar,Male,1987-08-26,2024-11-21,Y,60.0,1.0
5423-GWMNB,2020-03-10,Referral,2021-03-10,Standard,Annual,,,14.99,1049.3,17,0,Arjun,India,Maharashtra,Female,1981-02-22,,,,
9098-VNZDT,2020-01-15,Paid,2021-01-15,Standard,Monthly,2022-06-06,Switched to competitor,13.99,405.71,80,1,Ishaan,India,Kerala,Male,1976-03-20,2020-08-05,Y,30.0,1.0
0299-MAEUS,2023-08-01,Paid,2024-08-01,Premium,Annual,,,22.99,666.71,12,0,Priya,India,Rajasthan,Female,1980-12-14,,,,
0861-YNEXH,2019-10-20,Referral,2020-10-20,Premium,Monthly,,,23.99,1799.25,25,0,Pooja,India,Rajasthan,Male,1966-05-10,,,,
2601-UFVLH,2023-12-05,Organic,2024-12-05,Premium,Monthly,,,24.99,624.75,73,0,Meera,India,Punjab,Female,1997-05-15,,,,
0656-CUAHX,2023-05-14,Referral,2024-05-14,Standard,Annual,2024-10-15,Too expensive,15.99,271.83,65,1,Sneha,India,Kerala,Male,1998-03-02,,,,
8637-IZTAC,2021-12-15,Paid,2022-12-15,Premium,Monthly,,,22.99,1126.51,42,0,Aarav,India,Gujarat,Female,1989-03-06,,,,
7896-NDHGX,2019-11-06,Organic,2020-11-06,Basic,Monthly,2021-09-17,Too expensive,7.99,175.78,92,1,Neha,India,Telangana,Female,1999-02-05,2021-01-17,N,80.0,1.0
5523-LMPZS,2021-01-19,Paid,2022-01-19,Premium,Monthly,,,22.99,1379.4,37,0,Vishal,India,Telangana,Female,2005-12-21,,,,
6693-CXFQO,2021-05-01,Paid,2022-05-01,Premium,Annual,,,24.99,1399.44,23,0,Ananya,India,Haryana,Male,1977-03-08,2024-12-07,Y,20.0,2.0
7943-TLQTU,2022-08-13,Referral,2023-08-13,Basic,Annual,,,7.99,327.59,20,0,Ishaan,India,West Bengal,Male,1960-08-31,2024-05-15,N,80.0,1.0
8576-EGZBN,2024-04-02,Paid,2025-04-02,Standard,Annual,2026-07-15,Forgot to cancel trial,15.99,431.73,86,1,Shreya,India,Uttar Pradesh,Male,1983-06-18,,,,
3374-XKWJA,2023-09-08,Referral,2024-09-08,Premium,Annual,2025-12-11,Poor streaming quality,22.99,620.73,6,1,Priya,India,Punjab,Male,1977-04-10,,,,
8342-WNSHC,2019-04-28,Organic,2020-04-28,Standard,Annual,,,13.99,1133.19,64,0,Ananya,India,Rajasthan,Male,2003-05-03,,,,
7868-SJWIB,2022-04-17,Organic,2023-04-17,Premium,Annual,2022-08-02,Too expensive,22.99,68.97,71,1,Kavya,India,Madhya Pradesh,Male,1977-07-23,,,,
9140-BHOUS,2024-10-03,Organic,2025-10-03,Premium,Annual,2025-02-19,Poor streaming quality,22.99,91.96,86,1,Pooja,India,Tamil Nadu,Male,2002-08-20,2024-12-15,Y,20.0,1.0
9039-BOZNH,2023-11-22,Organic,2024-11-22,Basic,Monthly,,,6.99,174.75,64,0,Arjun,India,Tamil Nadu,Female,1965-04-02,,,,
9827-LBLRK,2023-03-20,Organic,2024-03-20,Basic,Monthly,2024-02-10,Not enough content,7.99,79.9,99,1,Arjun,India,Odisha,Female,1976-04-14,,,,
1820-XCECM,2019-11-27,Organic,2020-11-27,Standard,Annual,,,13.99,1035.26,32,0,Riya,India,West Bengal,Female,1962-10-16,,,,
4937-VCKUV,2023-11-12,Paid,2024-11-12,Basic,Monthly,,,7.99,207.74,66,0,Nikhil,India,Gujarat,Male,1988-06-18,,,,
6196-SVSUF,2024-05-12,Paid,2025-05-12,Basic,Annual,,,6.99,132.81,16,0,Shreya,India,Rajasthan,Female,1971-06-17,2025-11-13,N,60.0,1.0
1420-QVWGZ,2022-04-24,Referral,2023-04-24,Premium,Monthly,,,22.99,1011.56,1,0,Aditi,India,Madhya Pradesh,Male,1991-05-03,,,,
4355-HPLFA,2023-02-05,Paid,2024-02-05,Premium,Monthly,,,22.99,804.65,75,0,Sakshi,India,Maharashtra,Female,1986-10-31,2025-02-25,N,70.0,2.0
3760-CSLDR,2022-05-05,Paid,2023-05-05,Basic,Annual,2023-04-11,Switched to competitor,8.99,98.89,61,1,Sneha,India,Haryana,Female,2005-08-03,,,,
1065-DSBXV,2023-11-08,Organic,2024-11-08,Standard,Monthly,,,14.99,389.74,49,0,Rohan,India,Odisha,Female,1993-10-25,,,,
1763-KHDEU,2021-12-18,Referral,2022-12-18,Premium,Monthly,,,23.99,1175.51,17,0,Akash,India,Gujarat,Female,1975-06-09,2023-05-04,N,60.0,1.0
6450-YQOXZ,2023-12-16,Paid,2024-12-16,Standard,Annual,,,15.99,383.76,55,0,Mohan,India,Odisha,Male,1961-06-27,,,,
5036-OVDCR,2021-12-06,Paid,2022-12-06,Basic,Annual,2022-10-11,Poor streaming quality,6.99,69.9,81,1,Vishal,India,Karnataka,Female,1966-08-30,,,,
5452-UXSCS,2020-01-17,Paid,2021-01-17,Premium,Monthly,2022-03-27,Too expensive,22.99,597.74,74,1,Shreya,India,Gujarat,Female,1968-07-19,,,,
5911-DGIOQ,2023-11-25,Paid,2024-11-25,Premium,Monthly,2024-01-12,Not enough content,22.99,22.99,79,1,Sakshi,India,Delhi,Male,2003-03-03,2024-01-07,Y,30.0,3.0
3775-XFMVN,2024-09-08,Paid,2025-09-08,Standard,Annual,2026-10-01,Switched to competitor,15.99,399.75,62,1,Priya,India,Karnataka,Female,1978-08-17,2025-01-28,N,100.0,1.0
5033-FXYSX,2021-11-16,Referral,2022-11-16,Basic,Annual,2024-03-21,Switched to competitor,6.99,195.72,60,1,Varun,India,Tamil Nadu,Male,1999-09-17,,,,
2578-QXCXJ,2024-12-08,Paid,2025-12-08,Standard,Annual,,,13.99,167.88,42,0,Mohan,India,Delhi,Male,1972-09-07,,,,
2189-UXVNZ,2024-02-01,Paid,2025-02-01,Premium,Monthly,,,24.99,574.77,5,0,Arjun,India,Telangana,Male,1973-12-22,,,,
7473-VUFKN,2024-07-05,Referral,2025-07-05,Premium,Monthly,,,23.99,431.82,36,0,Karan,India,Kerala,Female,1965-02-16,,,,
6163-UJXUQ,2024-09-18,Paid,2025-09-18,Basic,Monthly,,,7.99,119.85,78,0,Sakshi,India,Bihar,Male,1993-04-28,2025-08-09,N,60.0,1.0
8083-DMYRR,2024-12-28,Organic,2025-12-28,Basic,Monthly,,,8.99,107.88,22,0,Akash,India,Haryana,Female,1964-06-15,,,,
3184-IZSAR,2024-05-16,Organic,2025-05-16,Basic,Annual,,,6.99,132.81,6,0,Rohan,India,Karnataka,Female,2000-04-13,,,,
4365-WPWEU,2022-10-16,Organic,2023-10-16,Premium,Annual,,,22.99,896.61,90,0,Riya,India,Rajasthan,Female,1993-11-09,2024-06-06,N,80.0,1.0
1748-YCWFY,2021-05-10,Paid,2022-05-10,Premium,Annual,2022-04-06,Too expensive,24.99,274.89,96,1,Mohan,India,Gujarat,Male,1969-03-28,2021-09-08,N,80.0,1.0
0892-VVMSK,2022-08-06,Referral,2023-08-06,Premium,Monthly,,,23.99,983.59,3,0,Ananya,India,Tamil Nadu,Female,2001-06-11,,,,
5773-MHIHV,2024-12-22,Organic,2025-12-22,Standard,Monthly,,,15.99,191.88,20,0,Tanvi,India,Maharashtra,Female,1969-09-23,,,,
6012-PJEBY,2021-02-01,Organic,2022-02-01,Basic,Annual,2022-01-04,Forgot to cancel trial,8.99,98.89,99,1,Rahul,India,Punjab,Female,1970-03-12,,,,
4831-PTBTB,2020-07-13,Referral,2021-07-13,Basic,Annual,,,7.99,527.34,47,0,Diya,India,Madhya Pradesh,Female,1995-06-15,2025-04-24,N,80.0,1.0
1478-UWTFL,2021-12-11,Referral,2022-12-11,Basic,Monthly,2023-03-24,Forgot to cancel trial,6.99,104.85,60,1,Meera,India,Kerala,Female,1960-10-05,,,,
2537-MBKCX,2024-03-13,Organic,2025-03-13,Premium,Monthly,2026-06-30,Switched to competitor,22.99,620.73,94,1,Arjun,India,Delhi,Female,1987-02-18,2026-05-18,N,100.0,1.0
7699-VROIS,2021-09-05,Paid,2022-09-05,Premium,Annual,,,22.99,1195.48,27,0,Meera,India,Bihar,Female,2003-11-19,,,,
9360-MVJFJ,2021-11-27,Referral,2022-11-27,Premium,Annual,,,22.99,1126.51,81,0,Mohan,India,Telangana,Female,1972-06-08,2023-08-28,Y,10.0,1.0
2096-FFIGH,2023-03-16,Organic,2024-03-16,Premium,Annual,,,23.99,815.66,97,0,Aarav,India,Tamil Nadu,Female,1988-02-12,2024-11-11,N,60.0,1.0
5253-GPDGB,2024-11-11,Paid,2025-11-11,Standard,Monthly,,,13.99,181.87,54,0,Akash,India,Tamil Nadu,Female,1990-12-12,,,,
6996-UJYDK,2020-11-12,Organic,2021-11-12,Premium,Monthly,,,24.99,1549.38,46,0,Arjun,India,Haryana,Female,1991-06-26,,,,
0397-LLNUR,2019-11-23,Organic,2020-11-23,Premium,Annual,2020-11-08,Switched to competitor,23.99,263.89,92,1,Shreya,India,Uttar Pradesh,Female,2003-05-17,2020-02-03,Y,40.0,1.0
6642-TLYRY,2019-05-25,Paid,2020-05-25,Premium,Monthly,2020-12-12,Forgot to cancel trial,22.99,413.82,94,1,Kavya,India,Karnataka,Female,1962-05-20,,,,
1229-YKIUL,2023-07-17,Organic,2024-07-17,Premium,Monthly,2023-11-13,Not enough content,24.99,74.97,89,1,Nikhil,India,Telangana,Male,1998-06-02,2023-09-09,Y,30.0,2.0
5721-NNOTA,2019-08-07,Organic,2020-08-07,Standard,Monthly,,,15.99,1231.23,36,0,Ananya,India,West Bengal,Male,2005-09-01,2024-12-18,N,80.0,1.0
1554-IIWOE,2021-06-19,Referral,2022-06-19,Basic,Monthly,,,6.99,384.45,43,0,Nikhil,India,Rajasthan,Male,1997-01-11,,,,
5487-NFVIN,2022-11-14,Paid,2023-11-14,Premium,Annual,,,23.99,911.62,27,0,Diya,India,Delhi,Female,1963-10-23,,,,
3139-DVWXY,2022-07-25,Paid,2023-07-25,Basic,Monthly,,,6.99,286.59,6,0,Tanvi,India,Karnataka,Male,2005-07-31,,,,
8971-QFBWG,2024-05-05,Paid,2025-05-05,Standard,Annual,,,13.99,279.8,86,0,Shreya,India,Haryana,Male,2002-10-02,2025-03-18,Y,40.0,1.0
3696-REZTE,2021-05-06,Referral,2022-05-06,Standard,Annual,,,13.99,783.44,45,0,Aditya,India,Odisha,Female,1975-06-26,2021-09-24,N,60.0,1.0
0627-JPLKQ,2021-04-14,Paid,2022-04-14,Premium,Annual,2021-05-16,Not enough content,22.99,22.99,72,1,Tanvi,India,Rajasthan,Male,1977-02-14,2021-05-06,N,90.0,1.0
6930-FEPWG,2021-01-25,Referral,2022-01-25,Premium,Annual,2021-05-28,Too expensive,22.99,91.96,79,1,Riya,India,West Bengal,Female,2005-12-25,,,,
8132-ZVOIJ,2020-06-25,Organic,2021-06-25,Basic,Monthly,,,7.99,535.33,68,0,Rahul,India,West Bengal,Female,1985-02-09,,,,
7565-XBGVP,2022-04-01,Paid,2023-04-01,Basic,Annual,,,6.99,314.55,54,0,Neha,India,Tamil Nadu,Female,1968-07-09,2025-05-02,N,60.0,1.0
8648-RYDIS,2022-12-21,Referral,2023-12-21,Standard,Annual,,,13.99,503.64,47,0,Shreya,India,West Bengal,Male,1981-05-04,,,,
0358-OFXMV,2020-07-27,Referral,2021-07-27,Premium,Annual,,,22.99,1517.34,9,0,Meera,India,Kerala,Female,1980-05-05,,,,
8990-WJIEM,2019-01-18,Organic,2020-01-18,Standard,Monthly,,,13.99,1175.16,57,0,Meera,India,Tamil Nadu,Male,1976-07-29,2022-07-24,N,80.0,1.0
1401-KXOEU,2020-09-26,Referral,2021-09-26,Premium,Annual,2022-08-18,Switched to competitor,22.99,528.77,72,1,Nikhil,India,Haryana,Male,1988-06-25,2021-07-13,N,70.0,1.0
0529-JDQPA,2022-10-28,Paid,2023-10-28,Basic,Annual,,,8.99,341.62,46,0,Arjun,India,Karnataka,Male,1985-06-27,,,,
0599-ZGWDR,2023-01-28,Referral,2024-01-28,Standard,Monthly,2023-07-01,Switched to competitor,13.99,69.95,82,1,Rohan,India,Delhi,Male,1989-04-12,2023-06-10,Y,60.0,1.0
5188-WZTGP,2021-09-21,Organic,2022-09-21,Standard,Monthly,2023-12-30,Poor streaming quality,14.99,404.73,96,1,Shreya,India,Tamil Nadu,Male,1997-10-28,,,,
6789-OAMWS,2024-04-18,Organic,2025-04-18,Basic,Annual,,,6.99,139.8,13,0,Vishal,India,West Bengal,Female,1987-09-29,,,,
2519-CYJIG,2023-09-11,Referral,2024-09-11,Premium,Monthly,,,22.99,643.72,21,0,Diya,India,Tamil Nadu,Female,1962-03-13,2024-10-18,Y,30.0,2.0
3954-OEWPU,2022-09-25,Referral,2023-09-25,Standard,Monthly,,,13.99,545.61,6,0,Diya,India,Punjab,Female,1961-11-06,,,,
0970-YIDLN,2020-06-20,Organic,2021-06-20,Premium,Monthly,2022-10-16,Switched to competitor,24.99,699.72,78,1,Akash,India,Telangana,Female,1971-10-02,2022-02-14,N,90.0,2.0
5401-JLHUH,2021-08-25,Paid,2022-08-25,Premium,Monthly,,,23.99,1247.48,15,0,Ishaan,India,Odisha,Male,1987-09-21,,,,
4576-FAZAN,2024-07-16,Referral,2025-07-16,Basic,Monthly,,,6.99,118.83,3,0,Shreya,India,Bihar,Female,1967-09-15,,,,
0482-WQUJT,2023-02-01,Referral,2024-02-01,Premium,Annual,,,22.99,804.65,56,0,Kavya,India,Tamil Nadu,Male,1976-06-16,,,,
6220-PMTNL,2024-08-22,Paid,2025-08-22,Standard,Annual,2025-08-13,Poor streaming quality,15.99,175.89,83,1,Mohan,India,Maharashtra,Female,2003-03-30,2025-02-08,N,60.0,2.0
0590-ZXTYQ,2024-02-05,Referral,2025-02-05,Basic,Monthly,,,8.99,206.77,58,0,Varun,India,Tamil Nadu,Male,1983-06-23,,,,
7035-AJNHN,2024-09-25,Paid,2025-09-25,Basic,Monthly,2026-01-18,Poor streaming quality,6.99,111.84,88,1,Ishaan,India,Haryana,Male,1983-05-23,2025-08-04,Y,40.0,1.0
3932-LRHFG,2020-03-11,Referral,2021-03-11,Premium,Monthly,,,22.99,1609.3,14,0,Meera,India,Uttar Pradesh,Female,1995-01-28,,,,
0395-LSFFR,2021-07-10,Paid,2022-07-10,Premium,Monthly,,,23.99,1295.46,43,0,Ishaan,India,West Bengal,Male,1967-02-10,2023-06-10,N,60.0,1.0
1245-WJQVA,2021-11-15,Organic,2022-11-15,Premium,Monthly,,,22.99,1149.5,31,0,Varun,India,Haryana,Male,1960-11-04,,,,
2137-UQXJG,2023-12-21,Referral,2024-12-21,Premium,Monthly,2025-08-10,Switched to competitor,22.99,436.81,18,1,Akash,India,Delhi,Male,1987-12-25,2024-07-11,Y,20.0,1.0
5138-RGYKT,2020-06-28,Paid,2021-06-28,Basic,Monthly,,,6.99,468.33,11,0,Pooja,India,Bihar,Male,2005-07-19,,,,
7958-SSDAW,2023-05-13,Organic,2024-05-13,Premium,Annual,,,22.99,735.68,15,0,Diya,India,Kerala,Female,1976-06-15,2023-11-04,N,90.0,1.0
5016-NDEQJ,2023-02-07,Paid,2024-02-07,Basic,Monthly,,,8.99,314.65,64,0,Rahul,India,Telangana,Female,1974-09-03,2023-06-06,N,80.0,1.0
1228-IANXJ,2021-10-12,Organic,2022-10-12,Premium,Monthly,,,24.99,1274.49,13,0,Pooja,India,Odisha,Female,2000-11-13,,,,
6090-JIWUH,2020-09-04,Referral,2021-09-04,Premium,Monthly,,,22.99,1471.36,26,0,Riya,India,Odisha,Male,1986-08-19,,,,
9553-OUFGW,2019-05-21,Paid,2020-05-21,Premium,Monthly,,,24.99,1999.2,21,0,Vishal,India,Telangana,Female,1961-06-19,2022-11-22,N,70.0,1.0
9646-RVZVK,2020-02-13,Referral,2021-02-13,Premium,Monthly,2022-06-09,Not enough content,22.99,643.72,69,1,Sakshi,India,Punjab,Female,2000-07-26,,,,
8052-MGCPL,2021-04-23,Referral,2022-04-23,Basic,Annual,,,7.99,455.43,10,0,Aditya,India,West Bengal,Male,1992-11-27,,,,
0600-LOPTZ,2020-12-11,Organic,2021-12-11,Premium,Annual,,,22.99,1402.39,55,0,Priya,India,Uttar Pradesh,Male,1980-09-10,2021-02-02,Y,40.0,1.0
1121-SCSBI,2021-09-20,Organic,2022-09-20,Basic,Monthly,,,6.99,363.48,83,0,Karan,India,West Bengal,Female,1977-09-19,,,,
8409-FDZPY,2023-03-23,Referral,2024-03-23,Premium,Annual,2023-08-14,Too expensive,22.99,91.96,88,1,Ananya,India,Punjab,Female,1992-04-01,,,,
1024-LAAZC,2021-11-03,Organic,2022-11-03,Standard,Monthly,2022-12-10,Switched to competitor,15.99,207.87,91,1,Ananya,India,Haryana,Female,1997-10-07,2022-08-05,Y,60.0,2.0
9404-MZBST,2022-02-02,Paid,2023-02-02,Standard,Monthly,2023-11-11,Not enough content,14.99,314.79,75,1,Ishaan,India,Delhi,Male,2003-02-10,,,,
4325-ZIBGM,2019-03-15,Paid,2020-03-15,Standard,Annual,,,13.99,1147.18,66,0,Kavya,India,Odisha,Female,1962-05-10,2024-04-25,Y,50.0,1.0
4134-ZCRZE,2020-02-25,Paid,2021-02-25,Standard,Monthly,,,15.99,1135.29,11,0,Tanvi,India,Telangana,Male,2002-01-02,,,,
8253-MUDCG,2022-09-06,Referral,2023-09-06,Basic,Monthly,,,8.99,359.6,40,0,Pooja,India,West Bengal,Female,1981-04-16,,,,
0053-NIHEQ,2024-06-16,Referral,2025-06-16,Basic,Monthly,,,6.99,125.82,57,0,Mohan,India,Delhi,Male,2002-08-07,,,,
7552-YCIGB,2022-12-15,Organic,2023-12-15,Basic,Monthly,,,8.99,332.63,75,0,Vishal,India,Uttar Pradesh,Female,1981-09-19,2024-07-13,N,100.0,1.0
8492-XGINJ,2024-01-01,Referral,2025-01-01,Premium,Monthly,,,22.99,551.76,13,0,Kavya,India,Madhya Pradesh,Female,1971-03-04,,,,
9730-INWVQ,2019-09-01,Paid,2020-09-01,Standard,Annual,2020-11-25,Too expensive,14.99,224.85,61,1,Vishal,India,Delhi,Male,1994-01-19,,,,
9774-RLOAS,2024-08-16,Paid,2025-08-16,Basic,Monthly,,,8.99,143.84,43,0,Arjun,India,West Bengal,Female,1985-11-26,,,,
1610-NCHWG,2021-01-10,Paid,2022-01-10,Premium,Annual,,,22.99,1379.4,28,0,Rohan,India,Kerala,Male,1960-09-05,,,,
2998-ITCRL,2021-04-12,Organic,2022-04-12,Standard,Monthly,2023-09-26,Too expensive,14.99,434.71,94,1,Arjun,India,Madhya Pradesh,Male,1999-05-19,2021-04-19,N,70.0,1.0
